# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 370         5.377       51.451      22.60       Eindhoven   
# RHX       : Hoogste uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# RHXH      : Uurvak waarin RHX is gemeten / Hourly division in which RHX was measured
# STN,YYYYMMDD,  RHX, RHXH
  370,20190519,    6,   20
  370,20190520,    0,    1
  370,20190521,    0,    1
  370,20190522,    0,    1
  370,20190523,    0,    1
  370,20190524,    0,    1
  370,20190525,    0,    1
  370,20190526,   15,   24
  370,20190527,    7,    1
  370,20190528,   89,   11
  370,20190529,    0,    1
  370,20190530,    5,    5
  370,20190531,    0,    1
  370,20190601,    0,    1
  370,20190602,   65,   21
  370,20190603,   -1,    1
  370,20190604,  120,   21
  370,20190605,  124,   23
  370,20190606,   38,    1
  370,20190607,    6,   17
  370,20190608,    2,   18
  370,20190609,   -1,    1
  370,20190610,   13,   19
  370,20190611,    0,    1
  370,20190612,   77,    5
  370,20190613,   20,   17
  370,20190614,    2,    9
  370,20190615,   27,    4
  370,20190616,    0,    1
  370,20190617,    0,    1
  370,20190618,    0,    1
  370,20190619,    6,   18
  370,20190620,   -1,    1
  370,20190621,    0,    1
  370,20190622,    0,    1
  370,20190623,    0,    1
  370,20190624,    0,    1
  370,20190625,    0,    1
  370,20190626,    0,    1
  370,20190627,    0,    1
  370,20190628,    0,    1
  370,20190629,    0,    1
  370,20190630,    0,    1
  370,20190701,    0,    1
  370,20190702,    0,    1
  370,20190703,    0,    1
  370,20190704,    0,    1
  370,20190705,    0,    1
  370,20190706,   18,   18
  370,20190707,    0,    1
  370,20190708,    0,    1
  370,20190709,    0,    1
  370,20190710,   -1,    1
  370,20190711,    0,    1
  370,20190712,   31,   12
  370,20190713,    5,    9
  370,20190714,    3,    9
  370,20190715,    1,    8
  370,20190716,    0,    1
  370,20190717,    0,    1
  370,20190718,    0,    1
  370,20190719,    0,    1
  370,20190720,    2,   15
  370,20190721,    0,    1
  370,20190722,    0,    1
  370,20190723,    0,    1
  370,20190724,    0,    1
  370,20190725,    0,    1
  370,20190726,   25,   17
  370,20190727,   48,   17
  370,20190728,    1,   10
  370,20190729,    0,    1
  370,20190730,    0,    1
  370,20190731,    6,   15
  370,20190801,    0,    1
  370,20190802,   18,   11
  370,20190803,    4,   10
  370,20190804,    0,    1
  370,20190805,   -1,    1
  370,20190806,    0,    1
  370,20190807,   -1,    1
  370,20190808,    0,    1
  370,20190809,   36,   10
  370,20190810,   -1,    1
  370,20190811,    0,    1
  370,20190812,   30,   15
  370,20190813,    8,   13
  370,20190814,    9,   20
  370,20190815,   13,   11
  370,20190816,    5,   23
  370,20190817,    6,   19
  370,20190818,   13,    9
  370,20190819,   -1,    1
  370,20190820,   22,   12
  370,20190821,    0,    1
  370,20190822,    0,    1
  370,20190823,    0,    1
  370,20190824,    0,    1
  370,20190825,    0,    1
  370,20190826,    0,    1
  370,20190827,    0,    1
  370,20190828,    2,   18
  370,20190829,   69,    2
  370,20190830,    0,    1
  370,20190831,    3,   19
  370,20190901,   -1,    1
  370,20190902,    0,    1
  370,20190903,   -1,    1
  370,20190904,   30,   15
  370,20190905,    4,   14
  370,20190906,    0,    1
  370,20190907,   15,   13
  370,20190908,    4,    3
  370,20190909,    0,    1
  370,20190910,    0,    1
  370,20190911,    3,   10
  370,20190912,   -1,    1
  370,20190913,    3,    8
  370,20190914,    0,    1
  370,20190915,    0,    1
  370,20190916,    1,   13
  370,20190917,    0,    1
  370,20190918,    0,    1
  370,20190919,    0,    1
  370,20190920,    0,    1
  370,20190921,    0,    1
  370,20190922,   19,   18
  370,20190923,   11,    3
  370,20190924,   27,   16
  370,20190925,   10,    8
  370,20190926,   23,   20
  370,20190927,   56,   16
  370,20190928,    9,   10
  370,20190929,   15,   23
  370,20190930,   16,   24
  370,20191001,   59,    7
  370,20191002,    9,   12
  370,20191003,    4,    7
  370,20191004,   36,    7
  370,20191005,    0,    1
  370,20191006,   39,   18
  370,20191007,    5,   22
  370,20191008,   10,    3
  370,20191009,   25,   10
  370,20191010,    2,    3
  370,20191011,    6,   14
  370,20191012,    0,    1
  370,20191013,    4,    8
  370,20191014,   -1,    1
  370,20191015,    6,    7
  370,20191016,   19,   20
  370,20191017,    9,    5
  370,20191018,   46,    9
  370,20191019,    8,    5
  370,20191020,   17,   12
  370,20191021,   21,    6
  370,20191022,   -1,    1
  370,20191023,   -1,    1
  370,20191024,   -1,    1
  370,20191025,   -1,    1
  370,20191026,   11,   24
  370,20191027,   12,    1
  370,20191028,    0,    1
  370,20191029,    0,    1
  370,20191030,    0,    1
  370,20191031,    0,    1
  370,20191101,   28,   23
  370,20191102,   19,   10
  370,20191103,    8,   17
  370,20191104,   13,   22
  370,20191105,   10,    6
  370,20191106,    2,    2
  370,20191107,   16,   11
  370,20191108,    0,    1
  370,20191109,   -1,    1
  370,20191110,    0,    1
  370,20191111,    7,   14
  370,20191112,   -1,    1
  370,20191113,   31,   14
  370,20191114,   -1,    1
  370,20191115,    0,    1
  370,20191116,    0,    1
  370,20191117,   13,   23
  370,20191118,   34,    4
  370,20191119,    5,    5
  370,20191120,    0,    1
  370,20191121,    0,    1
  370,20191122,    6,    8
  370,20191123,   -1,    1
  370,20191124,    0,    1
  370,20191125,    0,    1
  370,20191126,    6,   17
  370,20191127,   38,    3
  370,20191128,   20,   11
  370,20191129,   -1,    1
  370,20191130,    0,    1
  370,20191201,    0,    1
  370,20191202,    1,   11
  370,20191203,   -1,    1
  370,20191204,    0,    1
  370,20191205,    0,    1
  370,20191206,   12,   15
  370,20191207,   -1,    1
  370,20191208,   11,    7
  370,20191209,   46,   15
  370,20191210,   -1,    1
  370,20191211,   13,    5
  370,20191212,   12,   24
  370,20191213,   17,   14
  370,20191214,   35,    9
  370,20191215,   23,    5
  370,20191216,    2,   15
  370,20191217,   13,   20
  370,20191218,    0,    1
  370,20191219,    1,   18
  370,20191220,    6,   10
  370,20191221,   17,   24
  370,20191222,   13,   17
  370,20191223,    9,    5
  370,20191224,    6,    8
  370,20191225,    7,   14
